user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,source,is_retweet,cleaned_text,sentiment_label,sentiment_score
monkey's cheek,,phew 🏃‍♀️,2021-10-04 15:48:58+00:00,0,0,235,False,2021-10-06 11:54:25+00:00,I ain't never prayed this hard for a mfs downfall #SquidGame https://t.co/5BQxTGOxSx,Twitter for Android,False,aint never prayed hard mf downfall squidgame,Negative,-0.0565
Vicky,"Wonderland, mad tea party","Quintessential Dreamer...
gorgeous shadowhunter header...@iconicnephilim",2009-05-08 19:49:17+00:00,60,215,2482,False,2021-10-06 11:54:20+00:00,Omg episode 6 of #SquidGame is heartbreaking 😭😭,Twitter for Android,False,omg episode squidgame heartbreaking,Negative,-0.4588
carib_gal1,,I'm aspired to be great in life. I will succeed no matter how hard or how long it takes me! I will continue to try until I win.,2021-09-04 11:09:59+00:00,0,9,1,False,2021-10-06 11:53:44+00:00,"Who saw squid games? What's y'all thoughts? And if you haven't seen it what are you waiting for?

#SquidGame… https://t.co/vWziOzPueO",Twitter for Android,False,saw squid game whats yall thought havent seen waiting squidgame,Neutral,0.0
Shehan Dilhara,Global,"#Bitcoin

Social Media Marketing Professional | IG Business Marketing Specialist | Cryptopreneur and Cryptocurrency Consultant | Investor | Founder @norwirch",2017-06-06 14:31:22+00:00,186,484,4376,False,2021-10-06 11:53:41+00:00,"You’ve got 30 minutes ⏳
Carve out the B for 1BTC or get eliminated.

#squidgame #Bitcoin https://t.co/QRbuAjAYlY",Twitter for iPhone,False,youve got minute carve b btc get eliminated squidgame bitcoin,Neutral,0.0
Ary 💕,Danmark,Hehehe,2018-09-29 06:17:27+00:00,1,51,346,False,2021-10-06 11:53:29+00:00,That subway salesman can slap me all he wants;) #SquidGame,Twitter for Android,False,subway salesman slap want squidgame,Positive,0.2263
제로 ◡̈,heart is in 대한민국 서울,"@imzerooclock's ✨ | KOR ➡️ ENG | for translation works, dm here or reach me at zerotranslates@gmail.com | DON’T STEAL TRANSLATIONS, credits are ok.",2020-12-19 03:26:13+00:00,76,1,24,False,2021-10-06 11:53:28+00:00,"#SquidGame actress #JungHoyeon is @LouisVuitton’s newest global house ambassador for fashion, watches, and jewelry.… https://t.co/gcNJ086mu6",Twitter for iPhone,False,squidgame actress junghoyeon newest global house ambassador fashion watch jewelry,Neutral,0.0
Peaches & Cream.,"Johannesburg, South Africa",Liberalist.,2016-08-05 08:01:40+00:00,122,201,1436,False,2021-10-06 11:53:28+00:00,#SquidGame ye survival of the fittest.,Twitter for iPhone,False,squidgame ye survival fittest,Neutral,0.0
MBBB,,"you're only gonna get what you give away, so give ❤",2009-03-31 12:06:44+00:00,312,132,13218,False,2021-10-06 11:53:09+00:00,If you watch #SquidGame watch it without the overdub. Trust me,Twitter for Android,False,watch squidgame watch without overdub trust,Negative,-0.4023
my titties sag 🖤,"ÜT: 40.830066,-73.832015",🙄🚺♐️🥃 Charming ☺️,2010-02-18 16:32:56+00:00,152,276,10490,False,2021-10-06 11:53:00+00:00,Of course the VIPs are American sounding whites Smdh #SquidGame,Twitter for iPhone,False,course vip american sounding white smdh squidgame,Positive,0.5106
Ian Jæmes 🔰,ENGLAND,One religion... One love... One united.. MUFC #Glazersout 🔰,2011-07-03 15:04:33+00:00,859,981,2956,False,2021-10-06 11:52:56+00:00,Anyone else think that the old guy (001) was the organiser for the whole thing? To many things pointed in that dire… https://t.co/1HRYorBQ33,Twitter for iPhone,False,anyone else think old guy organiser whole thing many thing pointed dire,Negative,-0.4588
fb or unf 💜🐙 Vanshi⁷ 🐯🐹🐰,She/Her 🇮🇳,"in love with @BTS_twt 💜💜 believe in BTS & ARMY KARMA 😌
Don't follow me if you aren't an ARMY. I only fb Armys. #SRKian",2011-05-22 10:05:01+00:00,8271,7608,290751,False,2021-10-06 11:52:51+00:00,"Wi Ha-joon is so good looking God dammit 😭😭

#SquidGame",Twitter for Android,False,wi hajoon good looking god dammit squidgame,Positive,0.6124
Deev,,"Co-Host on Zedcast, NFT’s, Crypto Barstool Athlete",2021-04-29 23:35:12+00:00,121,45,971,False,2021-10-06 11:52:46+00:00,This is great #SquidGame https://t.co/6UOoNx1IiM,Twitter for iPhone,False,great squidgame,Positive,0.6249
ev🪐,Your Basement,send moon pics,2019-06-17 10:14:41+00:00,1637,1282,18387,False,2021-10-06 11:52:44+00:00,"Squid Game season 2 should be about the Front Man and how he got there, the games in his time maybe and end at the… https://t.co/uh5XTwegtH",Twitter for Android,False,squid game season front man got game time maybe end,Neutral,0.0
SirDeluxe,CT,"What are some lucrative stocks?
Tedtalks, Eagles,
🚚📫",2010-04-18 00:04:44+00:00,649,1347,2606,False,2021-10-06 11:52:43+00:00,She really went from 4m followers to almost 15mil.  Go head #SquidGame flourish.,Twitter for Android,False,really went follower almost mil go head squidgame flourish,Neutral,0.0
RVCJ Movies,Mumbai,Official MOVIES Account of RVCJ MEDIA,2019-08-13 12:01:17+00:00,28974,226,16,False,2021-10-06 11:52:41+00:00,"Squid Game!
#squidgame #squidgamenetflix #series #tvseries #rvcjmovies https://t.co/okitGlR6RN",Twitter for iPhone,False,squid game squidgame squidgamenetflix series tvseries rvcjmovies,Neutral,0.0
Global Times Pakistan,,Global Times Pakistan is a Digital Media House which is determined to cover the World Power Dynamics and National Security Issues of Pakistan.,2020-11-05 07:11:15+00:00,564,35,270,False,2021-10-06 11:52:40+00:00,"#BreakingNews: Netflix to edit 'Squid Game' phone number after woman inundated with calls

#Netflix #SquidGame… https://t.co/V8FrQk208n",Twitter Web App,False,breakingnews netflix edit squid game phone number woman inundated call netflix squidgame,Positive,0.0772
Gareth W Morgan,The Vale of GazMorgan,"Welsh, mad about films, music, military aviation. Inked, mad, daft, funny. I have an ever increasing collection of bad mistakes and decisions 🏴󠁧󠁢󠁷󠁬󠁳󠁿✌🏻",2009-02-14 09:50:53+00:00,533,578,6119,False,2021-10-06 11:52:21+00:00,"The man behind the mask has just been revealed and holy shit, it’s….
😮😮😮😮😮😮😮😮😮😮😮😮
🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫🤫
Not going to say bec… https://t.co/6ZVtlrrmSm",Twitter for iPhone,False,man behind mask revealed holy shit going say bec,Negative,-0.5574
DogFarm Coin, United States,"DogFarmCoin—member of the DogFarm Ecosystem,hyper-deflationary buyback token with improved functions to make it more secure. 👉https://t.co/PfBx8RZxcs",2017-07-20 05:19:25+00:00,1973,95,160,False,2021-10-06 11:52:18+00:00,"#SquidGame  with @DogFarmCoin

#squidgamenetflix #ShibaSwap #shiba #shib #Crypto #CryptoGems #shibainucoin #DOGEX… https://t.co/Ehp3osbZ37",Twitter Web App,False,squidgame squidgamenetflix shibaswap shiba shib crypto cryptogems shibainucoin dogex,Neutral,0.0
the _ûndër-ratèd niggáh👊🏾,,"@ManUtd die hard❤️❤️💪🏿💪🏿


YOLO


J'ai besoin de quelqu'un qui peut m'aimer au pire🤗
Non, je ne suis pas parfait, mais j'espère que tu vois ma valeur🤞🏾",2019-09-06 19:24:57+00:00,581,1035,8922,False,2021-10-06 11:52:04+00:00,"The deaths of Ali and Sae-Byeok were really hurting 😩😩😩 #SquidGame
They never deserved to die ☠️☠️ https://t.co/ZMsqPqOmN7",Twitter for Android,False,death ali saebyeok really hurting squidgame never deserved die,Negative,-0.5785
FAEL,"Warszawa, Polska","I love fast cars, expensive bags and nude men",2021-10-04 16:57:38+00:00,5,145,56,False,2021-10-06 11:51:46+00:00,#nailedit while watching #SquidGame https://t.co/ubEcSTCZC8,Twitter for iPhone,False,nailedit watching squidgame,Neutral,0.0
"Slayer, but nice 🗡️💜👑",Sweden,Allie | Druid 🌿| D&D | Fae Queen | she/her | Ace 💜🖤| So.Much.Salt 🧂| https://t.co/p0I4tkNo5F | header @nyvinter,2010-07-31 16:36:16+00:00,1165,196,59891,False,2021-10-06 11:51:45+00:00,"#SquidGame episode 6 spoilers

as soon as they told them to split into pairs I knew where that was going",Twitter Web App,False,squidgame episode spoiler soon told split pair knew going,Neutral,0.0
Uncle Don,"Liverpool, England",Liverpool Ravens Grayson & Callum,2011-04-07 04:03:21+00:00,400,99,7575,False,2021-10-06 11:51:41+00:00,I know I’m late but #SquidGame 🤯,Twitter for iPhone,False,know im late squidgame,Neutral,0.0
Nikki Jacobs,Cape Town ,"All about #CapeTown, coffeeholic, chocoholic & hot pink panty addict!☺ MA English student. Learning never ends.",2009-03-04 07:23:47+00:00,684,893,12332,False,2021-10-06 11:51:05+00:00,"Episode 6 #SquidGame 😭 what you'll do to win.
@NetflixSA https://t.co/1EkJ7h18gh",Twitter for Android,False,episode squidgame youll win,Positive,0.5859
Suterusu Daioh,Scotland,"Comment writer of the bizzare, pc gamer and All around simple guy. What's not to love?",2012-07-12 23:47:26+00:00,17,123,466,False,2021-10-06 11:50:47+00:00,@VAMichaelaLaws Dark thought acknowledged... I will counter that with the fact that I've willingly avoided such sho… https://t.co/5uvCKhMV5v,Twitter for Android,False,dark thought acknowledged counter fact ive willingly avoided sho,Negative,-0.34
"Cameron Dillon-chan has Healthier Shame, I guess?","Huntsville, AL","🔞Pansexual/Relationship Anarchist/NonB Transfemme /27/ She/Her or They/Them Pronouns / Left Pomo Anarca-Gal, Ironymancer, and Divisive Social Justice Terrorist",2012-01-01 10:52:14+00:00,794,3935,55813,False,2021-10-06 11:50:35+00:00,My contribution to the #SquidGame thing: Virgin Hungry Games comparisons vs Chad Infinite Ryvius comparisons. Watch… https://t.co/LirGCJSybD,Twitter for Android,False,contribution squidgame thing virgin hungry game comparison v chad infinite ryvius comparison watch,Neutral,0.0
Monbebe Nation,Worldwide,"A fan organization for Monsta X and Wonho. Focusing on Western/U.S. media promotion, including radio airplay and public relations ⭐️ #MONBEBE #WENEE",2019-12-17 01:31:56+00:00,5687,748,31387,False,2021-10-06 11:50:22+00:00,"Joohoney pulled his Monsta X-Ray tracksuit out of storage😆

@OfficialMonstaX #MONSTAX
#몬스타엑스 #SquidGame https://t.co/5qMEaN0Rza",Twitter for iPhone,False,joohoney pulled monsta xray tracksuit storage monstax squidgame,Neutral,0.0
Chintan,India,,2017-07-28 11:24:42+00:00,591,431,206846,False,2021-10-06 11:50:09+00:00,"This guy is in #squidgame 👏🏻👏🏻 Definetly binge watching it, he acted very well in Train to busan https://t.co/4Cw0BeJtdc",Twitter for iPhone,False,guy squidgame definetly binge watching acted well train busan,Positive,0.2732
FiremanSamⓣ,,Cat Stuck in your tree? Gimme a call 👨🏼‍🚒 $Tel NFTs -,2019-01-19 16:32:36+00:00,537,586,3841,False,2021-10-06 11:49:50+00:00,"Mannn on the BLOKKKK.

#KoalasAreComing #HugLife #SquidGame https://t.co/bfHt5BY7t8",Twitter for iPhone,False,mannn blokkkk koalasarecoming huglife squidgame,Neutral,0.0
BluSmartIndia,,"The future of travel is smarter, safer, and greener. Our electric cars will take you wherever you want to go in Delhi/NCR. Book a ride https://t.co/9MqfYyDFpE",2019-01-04 11:37:34+00:00,1064,117,555,False,2021-10-06 11:49:40+00:00,"Give pollution a Red Light by giving emission-free BluSmart a Green Light! 🚦😉

#SquidGame #SquidGameMemes… https://t.co/XFEA1cF5vP",Twitter Web App,False,give pollution red light giving emissionfree blusmart green light squidgame squidgamememes,Positive,0.34
